arm,knob,wall_ms_per_boundary,pen_mean_m,pen_max_m,pen_p95_m
mujoco,2,8.7997,0.010192172601819038,0.1306614726781845,0.07038253545761108
icf,1,4.4618,0.0,0.0,0.0
icf,2,7.296,6.676515784675985e-09,0.001003660261631012,0.0
icf,4,12.5308,2.8852099376308615e-08,0.0026535019278526306,0.0
icf,8,23.1431,9.899732589246923e-09,0.0006895549595355988,0.0
icf,16,42.1765,2.4247370777885635e-09,0.0005586594343185425,0.0
icf-adaptive,0.01,29.8891,1.7657132422854716e-09,0.00033462420105934143,0.0
icf-adaptive,0.001,62.9318,0.0,0.0,0.0
icf-adaptive,0.0001,140.3642,0.0,0.0,0.0
