arm,dt_s,accuracy,max_substeps,energy_change_pct,final_z,bounces,wall_s_per_sim_s,exhausted_frac,status
icf,0.01,,,-100.09809993448614,0.04901900142431259,2,0.010361793364224608,0.0,ok
icf,0.005,,,-100.09809993448614,0.04901900142431259,4,0.021919053195339284,0.0,ok
icf,0.002,,,-100.09809993448614,0.04901900142431259,7,0.06325251774168116,0.0,ok
icf,0.001,,,-100.0980995606755,0.04901900514960289,11,0.1464340099290327,0.0,ok
icf,0.0005,,,-98.05237543320331,0.06015286222100258,21,0.37229853044851924,0.0,ok
icf,0.0002,,,-57.090767560723926,0.47893184423446655,13,1.2690041272551986,0.0,ok
icf,0.0001,,,-32.207017641943,0.46382448077201843,12,2.5154310588179927,0.0,ok
icf,5e-05,,,-16.285007825469947,0.7850291728973389,11,4.118025003403298,0.0,ok
icf,2e-05,,,-6.852011312447389,0.9217838048934937,11,8.667671897603508,0.0,ok
icf,1e-05,,,-3.482793644842821,0.8229830265045166,11,18.559808780267492,0.0,ok
mujoco,0.01,,,-100.03671869575703,0.04963281378149986,1,0.01575103697305422,0.0,ok
mujoco,0.005,,,-100.03671832491314,0.04963281750679016,1,0.029797068627211515,0.0,ok
mujoco,0.002,,,-100.03671832491314,0.04963281750679016,0,0.07404552836564625,0.0,ok
mujoco,0.001,,,-100.03672018803286,0.04963279888033867,1,0.14541795470738758,0.0,ok
mujoco,0.0005,,,-100.03672242199647,0.04963277652859688,1,0.2882465461916654,0.0,ok
mujoco,0.0002,,,-100.03672204818582,0.049632780253887177,1,0.7193238022998497,0.0,ok
mujoco,0.0001,,,-100.0367164617934,0.04963283613324165,1,1.4439257767465794,0.0,ok
mujoco,5e-05,,,-100.03670081514785,0.04963299259543419,1,2.8775223803553422,0.0,ok
mujoco,2e-05,,,-100.03663711010041,0.049633629620075226,1,7.2613596200442805,0.0,ok
mujoco,1e-05,,,-100.03649775883216,0.04963502287864685,1,15.319770867427724,0.0,ok
icf-adaptive,,0.1,4096,-100.09801385123478,0.049019861966371536,3,0.03529394459341446,0.0,ok
icf-adaptive,,0.01,4096,-100.09810999177255,0.04901890084147453,3,0.03542506664651698,0.0,ok
icf-adaptive,,0.001,4096,-100.09809732374514,0.04901902750134468,5,0.0366299058066192,0.0,ok
icf-adaptive,,0.0001,4096,-100.09809993448614,0.04901900142431259,14,0.06384535952525322,0.0,ok
icf-adaptive,,1e-05,4096,-52.44721359795162,0.04539762809872627,11,0.7979795161283805,1.0,budget-exhausted
icf-adaptive,,1e-06,4096,-91.70128634323245,0.007778953295201063,0,1.2456493496984422,1.0,budget-exhausted
mujoco-adaptive,,0.1,4096,-100.03671869575703,0.04963281378149986,1,0.05602928938601681,0.0,ok
mujoco-adaptive,,0.01,4096,-100.03671869575703,0.04963281378149986,1,0.05623829769873935,0.0,ok
mujoco-adaptive,,0.001,4096,-100.03671869575703,0.04963281378149986,1,0.056465185865132744,0.0,ok
mujoco-adaptive,,0.0001,4096,-100.03671869575703,0.04963281378149986,0,0.0587848191268981,0.0,ok
mujoco-adaptive,,1e-05,4096,-100.0367175802586,0.04963282495737076,1,0.06807257665343627,0.0,ok
mujoco-adaptive,,1e-06,4096,-100.0367175802586,0.04963282495737076,1,0.09606949227277883,0.0,ok
