scene,arm,accuracy,dt_s,dt_outer_s,n_worlds,t_s,wall_ms,iters,exhausted_frac
hard-clutter,icf,,0.01,0.1,64,0.2,217.64144697226584,10,0.0
hard-clutter,icf,,0.01,0.1,64,0.30000000000000004,175.67836213856936,10,0.0
hard-clutter,icf,,0.01,0.1,64,0.4,140.68427891470492,10,0.0
hard-clutter,icf,,0.01,0.1,64,0.5,128.47050791606307,10,0.0
hard-clutter,icf,,0.01,0.1,64,0.6000000000000001,116.33522599004209,10,0.0
hard-clutter,icf,,0.01,0.1,64,0.7000000000000001,112.00180719606578,10,0.0
hard-clutter,icf,,0.01,0.1,64,0.8,112.38038912415504,10,0.0
hard-clutter,icf,,0.01,0.1,64,0.9,109.28203607909381,10,0.0
hard-clutter,icf,,0.01,0.1,64,1.0,100.89278686791658,10,0.0
hard-clutter,icf,,0.01,0.1,64,1.1,101.79709317162633,10,0.0
hard-clutter,icf,,0.01,0.1,64,1.2000000000000002,97.78781305067241,10,0.0
hard-clutter,icf,,0.01,0.1,64,1.3,99.10139790736139,10,0.0
hard-clutter,icf,,0.01,0.1,64,1.4000000000000001,89.84306501224637,10,0.0
hard-clutter,icf,,0.01,0.1,64,1.5,94.28776288405061,10,0.0
hard-clutter,icf,,0.01,0.1,64,1.6,84.7279829904437,10,0.0
hard-clutter,icf,,0.01,0.1,64,1.7000000000000002,93.24285387992859,10,0.0
hard-clutter,icf,,0.01,0.1,64,1.8,86.88732702285051,10,0.0
hard-clutter,icf,,0.01,0.1,64,1.9000000000000001,91.88396902754903,10,0.0
hard-clutter,icf,,0.01,0.1,64,2.0,87.60173711925745,10,0.0
hard-clutter,icf,,0.01,0.1,64,2.1,78.67899094708264,10,0.0
hard-clutter,icf,,0.01,0.1,64,2.2,76.02598005905747,10,0.0
hard-clutter,icf,,0.01,0.1,64,2.3000000000000003,97.24240889772773,10,0.0
hard-clutter,icf,,0.01,0.1,64,2.4000000000000004,81.33508497849107,10,0.0
hard-clutter,icf,,0.01,0.1,64,2.5,67.91473017074168,10,0.0
hard-clutter,icf,,0.01,0.1,64,2.6,68.0218730121851,10,0.0
hard-clutter,icf,,0.01,0.1,64,2.7,74.26218502223492,10,0.0
hard-clutter,icf,,0.01,0.1,64,2.8000000000000003,82.26867695339024,10,0.0
hard-clutter,icf,,0.01,0.1,64,2.9000000000000004,63.30571393482387,10,0.0
hard-clutter,icf,,0.01,0.1,64,3.0,72.43600487709045,10,0.0
hard-clutter,icf,,0.01,0.1,64,3.1,68.35535704158247,10,0.0
hard-clutter,icf,,0.01,0.1,64,3.2,62.50575487501919,10,0.0
hard-clutter,icf,,0.01,0.1,64,3.3000000000000003,62.86619999445975,10,0.0
hard-clutter,icf,,0.01,0.1,64,3.4000000000000004,57.98365990631282,10,0.0
hard-clutter,icf,,0.01,0.1,64,3.5,58.20844997651875,10,0.0
hard-clutter,icf,,0.01,0.1,64,3.6,68.3376700617373,10,0.0
hard-clutter,icf,,0.01,0.1,64,3.7,63.40783811174333,10,0.0
hard-clutter,icf,,0.01,0.1,64,3.8000000000000003,60.209003975614905,10,0.0
