arm,dt_s,accuracy,kp,kd,k,slide_speed,n_worlds,unstable,wall_s_per_sim_s,exhausted_frac,pen_box_mean_over_static,pen_box_max_m,pen_tip_mean_over_static,pen_tip_max_m,chatter_vz_rms_m_s,box_lift_max_m,box_pitch_rate_rms,tip_over_box_frac,rel_vx_rms_m_s,track_rms_m,box_displacement_m,box_displacement_commanded_m
mujoco,0.001,,10000.0,63.245553203367585,100000.0,0.3,1,False,0.28815059312458696,0.0,0.04317246377468109,9.18656587600708e-06,1.6825053691864014,0.00025875866413116455,0.059279441833496094,0.0022917576134204865,0.6952325105667114,0.0,0.031457558274269104,0.0011573625961318612,0.279601514339447,0.27999999999999997
mujoco-adaptive,,0.1,10000.0,63.245553203367585,100000.0,0.3,1,False,0.15226326136175414,0.0,1.329176902770996,0.0008895620703697205,2.360401153564453,0.0015766918659210205,0.10379520803689957,0.004018805921077728,1.9877583980560303,0.0,0.08548197150230408,0.0010085151297971606,0.2799576222896576,0.27999999999999997
mujoco-adaptive,,0.01,10000.0,63.245553203367585,100000.0,0.3,1,False,0.15649734618912997,0.0,1.0277076959609985,0.0004530809819698334,2.322437286376953,0.0015763882547616959,0.10203348100185394,0.004354838281869888,1.7013145685195923,0.0,0.1076250746846199,0.0009932591347023845,0.27996447682380676,0.27999999999999997
mujoco-adaptive,,0.001,10000.0,63.245553203367585,100000.0,0.3,1,False,0.18906343656046123,0.0,0.8036240339279175,0.0006296485662460327,0.8979639410972595,0.0013073720037937164,0.0835721418261528,0.0026536770164966583,1.0941486358642578,0.0,0.07031020522117615,0.0011736389715224504,0.27993273735046387,0.27999999999999997
mujoco-adaptive,,0.0001,10000.0,63.245553203367585,100000.0,0.3,1,False,0.328430123466613,0.0,0.44427555799484253,3.900378942489624e-05,0.20557138323783875,0.00017029047012329102,0.06326737999916077,0.0016610734164714813,0.7880878448486328,0.0,0.01867459900677204,0.0013214070349931717,0.2799334228038788,0.27999999999999997
icf,0.01,,100000.0,200.0,100000.0,0.3,1,False,0.059901445558101965,0.0,0.9984526634216309,2.50302255153656e-05,0.6756841540336609,0.00024360790848731995,7.356420155701926e-06,-2.3808330297470093e-05,0.002968989312648773,0.0,1.0009181323766825e-06,0.0005977586260996759,0.2799615263938904,0.27999999999999997
icf,0.005,,100000.0,200.0,100000.0,0.3,1,False,0.08089462279117313,0.0,0.9976743459701538,2.6464462280273438e-05,0.2301684468984604,0.00018241629004478455,1.2021941984130535e-05,-2.351030707359314e-05,0.005452040582895279,0.0,0.08284816890954971,0.00014924065908417106,0.2799641489982605,0.27999999999999997
icf,0.002,,100000.0,200.0,100000.0,0.3,1,False,0.12948127888978042,0.0,0.994226336479187,2.6103109121322632e-05,0.23431813716888428,0.00013608857989311218,3.880654912791215e-05,-2.329424023628235e-05,0.0015672786394134164,0.0,0.2022252082824707,0.000141716402140446,0.2799622416496277,0.27999999999999997
icf,0.001,,100000.0,200.0,100000.0,0.3,1,False,0.20573704591791692,0.0,0.993145227432251,2.501159906387329e-05,0.23392581939697266,8.839741349220276e-05,5.494861034094356e-05,-2.3543834686279297e-05,0.0031311989296227694,0.0,0.2689443826675415,0.00024893778027035296,0.27996060252189636,0.27999999999999997
icf-adaptive,,0.1,100000.0,200.0,100000.0,0.3,1,False,0.11060470000615921,0.0,0.9975062012672424,2.5626271963119507e-05,0.23125268518924713,0.0001833401620388031,1.792253715393599e-05,-2.3525208234786987e-05,0.005576125346124172,0.0,0.08284828066825867,0.0001492320589022711,0.27996399998664856,0.27999999999999997
