boundary,iters,cum_iters,ideal_min,ideal_mean,ideal_max,resid_min,resid_max,rejects,err_max,n_debt,n_subfloor,n_guard
49,7,365,7.137097e-04,7.249794e-03,1.089000e-02,0.000000e+00,0.000000e+00,138,2.004206e-06,0,0,0
50,8,373,1.422269e-04,7.604443e-03,1.463921e-02,0.000000e+00,0.000000e+00,102,7.111579e-06,0,0,0
51,10,383,5.778857e-06,7.070632e-03,1.369915e-02,0.000000e+00,0.000000e+00,157,1.978874e-05,0,0,0
52,13,396,2.453569e-05,7.322563e-03,1.379326e-02,0.000000e+00,0.000000e+00,102,3.340794e-04,0,0,0
53,8,404,1.108786e-04,6.930862e-03,1.281570e-02,0.000000e+00,0.000000e+00,144,8.456875e-04,0,0,0
54,9,413,8.657109e-05,7.110663e-03,1.322727e-02,0.000000e+00,0.000000e+00,128,8.625407e-04,0,0,0
55,14,427,2.308842e-04,6.847004e-03,1.490003e-02,0.000000e+00,0.000000e+00,172,4.501082e-05,0,0,0
56,12,439,1.525879e-04,7.267653e-03,1.347016e-02,0.000000e+00,0.000000e+00,95,5.478878e-05,0,0,0
57,9,448,1.949444e-04,6.877625e-03,1.309754e-02,0.000000e+00,0.000000e+00,147,8.283556e-05,0,0,0
58,12,460,3.905594e-04,7.019730e-03,1.241663e-02,0.000000e+00,0.000000e+00,133,3.517121e-04,0,0,0
59,8,468,1.636427e-04,6.470289e-03,1.433865e-02,0.000000e+00,0.000000e+00,157,3.442168e-06,0,0,0
60,13,481,3.510574e-04,6.964627e-03,1.279568e-02,0.000000e+00,0.000000e+00,114,7.343246e-06,0,0,0
61,9,490,1.944602e-05,6.574109e-03,1.393428e-02,0.000000e+00,0.000000e+00,158,1.267716e-05,0,0,0
62,10,500,2.742745e-06,6.530100e-03,1.514462e-02,0.000000e+00,0.000000e+00,121,4.871171e-04,0,0,0
63,10,510,1.117587e-07,6.393339e-03,1.524399e-02,0.000000e+00,0.000000e+00,161,1.217984e-04,0,1,0
64,12,522,1.597498e-04,6.789392e-03,1.817483e-02,0.000000e+00,0.000000e+00,142,2.242476e-04,0,0,0
65,13,535,8.772127e-05,6.073904e-03,1.438256e-02,0.000000e+00,0.000000e+00,193,3.381670e-04,0,0,0
66,16,551,2.579205e-04,6.633603e-03,1.246302e-02,0.000000e+00,0.000000e+00,135,9.717047e-05,0,0,0
67,17,568,4.024198e-04,6.436698e-03,1.408707e-02,0.000000e+00,0.000000e+00,180,5.824268e-04,0,0,0
68,14,582,1.129787e-04,6.176199e-03,1.349931e-02,0.000000e+00,0.000000e+00,160,6.153658e-04,0,0,0
69,14,596,4.540524e-04,6.256492e-03,1.254456e-02,0.000000e+00,0.000000e+00,177,8.688867e-05,0,0,0
70,13,609,7.660594e-05,6.252102e-03,1.512071e-02,0.000000e+00,0.000000e+00,153,6.138044e-04,0,0,0
71,14,623,1.781760e-04,5.990807e-03,1.210120e-02,0.000000e+00,0.000000e+00,187,2.698079e-04,0,0,0
72,10,633,9.657815e-06,6.163507e-03,1.545148e-02,0.000000e+00,0.000000e+00,155,2.797842e-04,0,0,0
73,12,645,1.065526e-04,6.265496e-03,1.817925e-02,0.000000e+00,0.000000e+00,160,9.059906e-06,0,0,0
74,17,662,8.428469e-06,6.174428e-03,1.383177e-02,0.000000e+00,0.000000e+00,158,1.159757e-04,0,0,0
75,12,674,1.818454e-04,5.811862e-03,1.322659e-02,0.000000e+00,0.000000e+00,190,1.312196e-04,0,0,0
76,13,687,4.434679e-04,6.388633e-03,1.678125e-02,0.000000e+00,0.000000e+00,147,1.451001e-06,0,0,0
77,12,699,6.693881e-04,5.847341e-03,1.333196e-02,0.000000e+00,0.000000e+00,177,6.411597e-05,0,0,0
78,14,713,2.531521e-04,5.940333e-03,1.244369e-02,0.000000e+00,0.000000e+00,175,2.226233e-04,0,0,0
79,14,727,8.558854e-05,5.727928e-03,1.137041e-02,0.000000e+00,0.000000e+00,181,2.114475e-05,0,0,0
80,16,743,1.659151e-05,5.855115e-03,1.817041e-02,0.000000e+00,0.000000e+00,158,3.828853e-04,0,0,0
81,15,758,1.944136e-05,5.724438e-03,1.399691e-02,0.000000e+00,0.000000e+00,191,4.853308e-04,0,0,0
82,12,770,1.040613e-04,5.770061e-03,1.375612e-02,0.000000e+00,0.000000e+00,147,9.611249e-05,0,0,0
83,15,785,1.245132e-04,5.519907e-03,1.301957e-02,0.000000e+00,0.000000e+00,178,1.172721e-05,0,0,0
