boundary,iters,cum_iters,ideal_min,ideal_mean,ideal_max,resid_min,resid_max
66,15,680,5.434267e-06,6.247609e-03,1.784685e-02,0.000000e+00,0.000000e+00
67,17,697,1.772307e-05,6.032451e-03,1.626001e-02,0.000000e+00,0.000000e+00
68,19,716,1.210719e-05,6.091408e-03,1.720664e-02,0.000000e+00,0.000000e+00
69,19,735,6.030314e-06,5.910039e-03,1.600515e-02,0.000000e+00,0.000000e+00
70,17,752,9.508803e-06,6.067938e-03,1.647784e-02,0.000000e+00,0.000000e+00
71,21,773,4.125759e-06,5.780563e-03,1.748307e-02,0.000000e+00,0.000000e+00
72,15,788,8.940697e-06,5.936049e-03,1.632485e-02,0.000000e+00,0.000000e+00
73,17,805,1.657289e-05,5.756072e-03,1.594405e-02,0.000000e+00,0.000000e+00
74,16,821,8.149073e-07,5.880754e-03,1.817041e-02,0.000000e+00,0.000000e+00
75,18,839,2.802815e-05,5.582425e-03,1.612908e-02,0.000000e+00,0.000000e+00
76,18,857,2.970919e-06,5.794704e-03,1.753491e-02,0.000000e+00,0.000000e+00
77,18,875,3.864989e-06,5.603135e-03,1.817041e-02,0.000000e+00,0.000000e+00
78,17,892,1.491513e-05,5.800515e-03,1.772019e-02,0.000000e+00,0.000000e+00
79,19,911,3.725290e-08,5.543475e-03,1.817925e-02,0.000000e+00,0.000000e+00
80,22,933,4.776288e-05,5.656214e-03,1.817925e-02,0.000000e+00,0.000000e+00
81,33,966,6.905757e-06,5.508245e-03,1.817041e-02,0.000000e+00,0.000000e+00
82,22,988,2.115965e-05,5.629327e-03,1.697163e-02,0.000000e+00,0.000000e+00
83,17,1005,9.150244e-06,5.480692e-03,1.817925e-02,0.000000e+00,0.000000e+00
84,25,1030,2.272427e-06,5.657211e-03,1.638363e-02,0.000000e+00,0.000000e+00
85,20,1050,1.827255e-05,5.413628e-03,1.817041e-02,0.000000e+00,0.000000e+00
86,16,1066,1.800247e-05,5.564963e-03,1.519012e-02,0.000000e+00,0.000000e+00
87,19,1085,3.320165e-06,5.377292e-03,1.710447e-02,0.000000e+00,0.000000e+00
88,14,1099,9.080395e-06,5.477779e-03,1.640107e-02,0.000000e+00,0.000000e+00
