boundary,iters,cum_iters,ideal_min,ideal_mean,ideal_max,resid_min,resid_max
66,15,561,1.071271e-03,6.000951e-03,1.243871e-02,0.000000e+00,0.000000e+00
67,15,576,1.026186e-03,5.871859e-03,1.270176e-02,0.000000e+00,0.000000e+00
68,12,588,1.406132e-03,6.097084e-03,1.322823e-02,0.000000e+00,0.000000e+00
69,11,599,1.151328e-03,5.800917e-03,1.370087e-02,0.000000e+00,0.000000e+00
70,12,611,8.851472e-04,5.931236e-03,1.213591e-02,0.000000e+00,0.000000e+00
71,11,622,1.580275e-03,5.785679e-03,1.000000e-02,0.000000e+00,0.000000e+00
72,14,636,8.951981e-04,5.944815e-03,1.355148e-02,0.000000e+00,0.000000e+00
73,10,646,1.209522e-03,5.683505e-03,1.608264e-02,0.000000e+00,0.000000e+00
74,10,656,1.116988e-03,5.751808e-03,1.078489e-02,0.000000e+00,0.000000e+00
75,10,666,1.291776e-03,5.712529e-03,1.004260e-02,0.000000e+00,0.000000e+00
76,20,686,7.651318e-04,5.843662e-03,1.294443e-02,0.000000e+00,0.000000e+00
77,11,697,8.735409e-04,5.626896e-03,1.321861e-02,0.000000e+00,0.000000e+00
78,15,712,6.690775e-04,5.762041e-03,1.319520e-02,0.000000e+00,0.000000e+00
79,17,729,7.993542e-04,5.545401e-03,1.093184e-02,0.000000e+00,0.000000e+00
80,14,743,8.653573e-04,5.680304e-03,1.132718e-02,0.000000e+00,0.000000e+00
81,11,754,8.054345e-04,5.567540e-03,1.150242e-02,0.000000e+00,0.000000e+00
82,12,766,9.792309e-04,5.556697e-03,1.343140e-02,0.000000e+00,0.000000e+00
83,14,780,1.147158e-03,5.338569e-03,1.108091e-02,0.000000e+00,0.000000e+00
84,15,795,9.275602e-04,5.467935e-03,1.045421e-02,0.000000e+00,0.000000e+00
85,13,808,1.041712e-03,5.204385e-03,1.002637e-02,0.000000e+00,0.000000e+00
86,13,821,1.239226e-03,5.407413e-03,1.166461e-02,0.000000e+00,0.000000e+00
87,12,833,1.007010e-03,5.177615e-03,1.000000e-02,0.000000e+00,0.000000e+00
88,15,848,1.035832e-03,5.265556e-03,1.197900e-02,0.000000e+00,0.000000e+00
89,12,860,1.125766e-03,5.185610e-03,1.226504e-02,0.000000e+00,0.000000e+00
90,12,872,1.206301e-03,5.306858e-03,1.349155e-02,0.000000e+00,0.000000e+00
91,15,887,1.126989e-03,5.249596e-03,1.484070e-02,0.000000e+00,0.000000e+00
92,15,902,9.723712e-04,5.302166e-03,1.317269e-02,0.000000e+00,0.000000e+00
93,14,916,7.375785e-04,5.264150e-03,1.000000e-02,0.000000e+00,0.000000e+00
