boundary,iters,cum_iters,ideal_min,ideal_mean,ideal_max,resid_min,resid_max,rejects,err_max,n_debt,n_subfloor,n_guard,eworld,qmax_i,qmax,ncon
1543,11,20205,1.058110e-03,5.041518e-03,1.000000e-02,0.000000e+00,0.000000e+00,236,2.422685e-04,0,0,0,8,18,1.169256e+03,71075
1544,13,20218,1.348817e-03,5.113612e-03,1.208290e-02,0.000000e+00,0.000000e+00,232,4.996200e-04,0,0,0,221,18,1.170785e+03,70679
1545,12,20230,1.159015e-03,4.947716e-03,1.053656e-02,0.000000e+00,0.000000e+00,230,1.498844e-04,0,0,0,9,18,1.172287e+03,70523
1546,12,20242,1.282219e-03,4.936127e-03,1.272552e-02,0.000000e+00,0.000000e+00,230,3.646471e-05,0,0,0,212,18,1.173814e+03,70616
1547,11,20253,1.312538e-03,4.910392e-03,1.000000e-02,0.000000e+00,0.000000e+00,225,2.846090e-04,0,0,0,80,18,1.175335e+03,70884
1548,12,20265,1.637865e-03,5.039691e-03,1.145101e-02,0.000000e+00,0.000000e+00,227,3.639902e-05,0,0,0,6,18,1.176835e+03,70101
1549,13,20278,1.237390e-03,4.993685e-03,1.007334e-02,0.000000e+00,0.000000e+00,243,3.086090e-05,0,0,0,204,18,1.178362e+03,70148
1550,14,20292,9.308945e-04,5.167537e-03,1.176605e-02,0.000000e+00,0.000000e+00,218,1.846931e-06,0,0,0,206,18,1.179873e+03,70462
1551,11,20303,1.682152e-03,5.157975e-03,1.012511e-02,0.000000e+00,0.000000e+00,222,1.204712e-04,0,0,0,100,18,1.181399e+03,70118
1552,19,20322,9.467129e-04,5.230105e-03,1.202781e-02,0.000000e+00,0.000000e+00,210,8.159602e-04,0,0,0,146,18,1.182930e+03,69673
1553,12,20334,1.214126e-03,5.157887e-03,9.587925e-03,0.000000e+00,0.000000e+00,225,3.623439e-05,0,0,0,146,18,1.184454e+03,69708
1554,11,20345,1.171234e-03,5.304781e-03,1.089000e-02,0.000000e+00,0.000000e+00,215,2.529632e-04,0,0,0,8,18,1.185977e+03,69843
1555,13,20358,1.373415e-03,5.180859e-03,1.000000e-02,0.000000e+00,0.000000e+00,233,2.545837e-05,0,0,0,211,18,1.187505e+03,69761
1556,17,20375,7.452191e-04,5.165923e-03,1.202776e-02,0.000000e+00,0.000000e+00,217,3.613621e-05,0,0,0,8,18,1.189031e+03,69284
1557,11,20386,1.414204e-03,5.002371e-03,1.000000e-02,0.000000e+00,0.000000e+00,237,3.610344e-05,0,0,0,60,18,1.190563e+03,68976
1558,10,20396,1.416098e-03,5.070969e-03,1.023925e-02,0.000000e+00,0.000000e+00,220,3.414455e-05,0,0,0,212,18,1.192097e+03,68285
1559,10,20406,1.120901e-03,5.002095e-03,1.070854e-02,0.000000e+00,0.000000e+00,217,1.517697e-04,0,0,0,153,18,1.193598e+03,68580
1560,9,20415,1.211303e-03,5.072448e-03,1.118939e-02,0.000000e+00,0.000000e+00,203,1.354945e-04,0,0,0,25,18,1.195150e+03,68400
1561,18,20433,5.360818e-04,4.936771e-03,1.065826e-02,0.000000e+00,0.000000e+00,260,3.597311e-05,0,0,0,1,18,1.196688e+03,68396
1562,13,20446,1.064624e-03,5.102094e-03,1.172409e-02,0.000000e+00,0.000000e+00,220,1.284972e-04,0,0,0,1,18,1.198222e+03,67961
1563,18,20464,6.389479e-04,5.160390e-03,1.122122e-02,0.000000e+00,0.000000e+00,222,3.590818e-05,0,0,0,1,18,1.199756e+03,67955
1564,16,20480,1.104036e-03,5.085081e-03,1.146448e-02,0.000000e+00,0.000000e+00,235,3.587578e-05,0,0,0,1,18,1.201291e+03,67516
1565,19,20499,8.823898e-04,5.074355e-03,1.041193e-02,0.000000e+00,0.000000e+00,220,3.584367e-05,0,0,0,176,18,1.202815e+03,67702
1566,19,20518,5.572411e-04,5.184539e-03,1.089000e-02,0.000000e+00,0.000000e+00,220,2.301081e-04,0,0,0,135,18,1.204364e+03,66984
1567,17,20535,1.221633e-03,5.166232e-03,1.043228e-02,0.000000e+00,0.000000e+00,218,3.873111e-04,0,0,0,135,18,1.205901e+03,67037
1568,14,20549,1.175648e-03,5.227678e-03,1.142365e-02,0.000000e+00,0.000000e+00,217,7.977998e-06,0,0,0,205,18,1.207429e+03,66794
1569,12,20561,1.245269e-03,5.157527e-03,1.000000e-02,0.000000e+00,0.000000e+00,223,7.352600e-05,0,0,0,164,18,1.208980e+03,66586
